Qtd_Partidas;Match ID;Patch;Champion;Enemy Champion;Game Start Time;Win Rate %;Kills;Deaths;Assists;KDA;Kill Participation;Total Damage Dealt;Total Damage Taken;Self Mitigated Damage;Gold Earned;Farm/Min;Damage/Min;Gold/Min;Vision Score;Vision Score/Min;Wards Placed;Wards Killed;Control Wards Placed;Damage to Buildings;Damage to Objectives;Turret Plates Taken;Team Damage %;Damage Taken %;First Blood Kill;First Blood Assist;First Tower Kill;First Tower Assist;CC Score;Kills 5';Deaths 5';Assists 5';CS 5';Gold Earned 5';Plates 5';KDA 5';GPM 5';DPM 5';Gold Share 5';Gold Eff 5';CS Diff 5';Gold Diff 5';XP Diff 5';DMG Diff 5';CS aos 6 min;Kills 11';Deaths 11';Assists 11';CS 11';Gold Earned 11';Plates 11';KDA 11';GPM 11';DPM 11';Gold Share 11';Gold Eff 11';CS Diff 11';Gold Diff 11';XP Diff 11';DMG Diff 11';Kills 12';Deaths 12';Assists 12';CS 12';Gold Earned 12';Plates 12';KDA 12';GPM 12';DPM 12';Gold Share 12';Gold Eff 12';CS Diff 12';Gold Diff 12';XP Diff 12';DMG Diff 12';CS aos 12 min;Gold aos 12 min;XP aos 12 min;Deaths até 12min;VPM @12;KDA @12;Kills 14';Deaths 14';Assists 14';CS 14';Gold Earned 14';Plates 14';KDA 14';GPM 14';DPM 14';Gold Share 14';Gold Eff 14';CS Diff 14';Gold Diff 14';XP Diff 14';DMG Diff 14';CS aos 18 min;Kills 20';Deaths 20';Assists 20';CS 20';Gold Earned 20';Plates 20';KDA 20';GPM 20';DPM 20';Gold Share 20';Gold Eff 20';CS Diff 20';Gold Diff 20';XP Diff 20';DMG Diff 20'
1;KR_7966299625;15.24;Nidalee;LeeSin;1765719759370;1;9;0;14;0,0;0,77;26617;31994;16883;13886;8,94;987,03;514,93;43;1,59;7;14;5;4195;46762;0;0,24;0,28;0;0;0;0;9;0;0;0;29;1648;0;0,0;329,6;987,03;0,2;2,99;-3;-336;-232;3620,4;35;1;0;3;79;4497;0;0,0;408,82;987,03;0,22;2,41;19;981;1021;7964,87;2;0;4;87;4805;0;0,0;400,42;987,03;0,22;2,47;19;957;926;8688,95;87;4805;4815;0;19,08;0,0;2;0;4;116;5679;0;0,0;405,64;987,03;0,21;2,43;47;1571;2430;10137,11;138;3;0;5;162;8156;0;0,0;407,8;987,03;0,21;2,42;47;1810;2472;14481,58
1;KR_7966299625;15.24;Bard;Seraphine;1765719759370;1;0;3;24;8,0;0,8;11752;20663;10440;7676;0,56;435,8;284,65;86;3,19;40;9;11;1761;1761;0;0,11;0,18;0;0;0;0;65;0;0;0;2;1214;0;0,0;242,8;435,8;0,14;1,79;-3;85;27;786,72;2;0;0;4;2;2828;0;0,0;257,09;435,8;0,14;1,7;-11;485;-349;1730,77;0;1;6;4;3045;0;6,0;253,75;435,8;0,14;1,72;-12;490;-396;1888,11;4;3045;2231;1;38,28;6,0;0;1;6;5;3543;0;6,0;253,07;435,8;0,13;1,72;-12;597;-144;2202,79;7;0;3;10;7;5114;0;3,33;255,7;435,8;0,13;1,7;-13;325;-608;3146,85
1;KR_7966299625;15.24;Yunara;Corki;1765719759370;1;8;3;13;7,0;0,7;24784;16647;8370;14740;8,64;919,06;546,6;22;0,82;9;8;0;5075;10933;0;0,22;0,15;0;0;0;0;11;0;0;0;37;1974;0;0,0;394,8;919,06;0,23;2,33;7;397;189;1223,17;41;2;0;0;93;5008;0;0,0;455,27;919,06;0,24;2,02;15;1415;1226;2690,99;3;0;1;102;5289;2;0,0;440,75;919,06;0,24;2,09;6;1272;1107;2935,63;102;5289;5177;0;9,84;0,0;3;0;1;124;6942;2;0,0;495,86;919,06;0,25;1,85;11;2059;2215;3424,9;166;6;1;1;184;10088;3;7,0;504,4;919,06;0,26;1,82;15;984;2519;4892,71
1;KR_7966299625;15.24;Gnar;Gwen;1765719759370;1;7;3;8;5,0;0,5;25944;26177;16643;13428;7,64;962,08;497,95;18;0,67;9;2;0;11357;24522;0;0,23;0,23;1;0;1;0;32;1;1;0;29;1834;0;1,0;366,8;962,08;0,22;2,62;-8;30;-90;811,93;36;2;1;1;85;4267;0;3,0;387,91;962,08;0,21;2,48;-10;140;22;1786,24;2;2;1;91;4619;0;1,5;384,92;962,08;0,21;2,5;-11;187;-136;1948,63;91;4619;6143;2;8,04;1,5;2;2;1;116;6045;1;1,5;431,79;962,08;0,22;2,23;-3;927;267;2273,4;147;4;2;2;162;8764;3;3,0;438,2;962,08;0,22;2,2;0;1405;961;3247,71
1;KR_7966299625;15.24;Zoe;Anivia;1765719759370;1;6;3;11;5,67;0,57;21623;17133;7025;11666;7,08;801,84;432,61;30;1,11;8;6;4;5750;8607;0;0,2;0,15;0;1;0;0;28;0;0;1;38;1773;0;0,0;354,6;801,84;0,21;2,26;3;140;38;1753,46;43;1;0;1;93;3947;0;0,0;358,82;801,84;0,19;2,23;4;321;-558;3857,61;1;0;2;106;4307;0;0,0;358,92;801,84;0,2;2,23;7;391;-412;4208,31;106;4307;5497;0;13,32;0,0;1;0;2;124;5062;0;0,0;361,57;801,84;0,19;2,22;3;465;-491;4909,69;144;1;2;4;162;6906;0;2,5;345,3;801,84;0,18;2,32;4;115;-51;7013,85
1;KR_7966299625;15.24;Seraphine;Bard;1765719759370;0;0;5;8;1,6;0,67;7509;17512;9254;6284;0,82;278,45;233,03;69;2,56;40;4;10;1213;1525;0;0,11;0,13;0;0;0;0;18;0;0;0;5;1129;0;0,0;225,8;278,45;0,14;1,23;3;-85;-27;-786,72;7;0;1;0;13;2343;0;0,0;213,0;278,45;0,14;1,31;11;-485;349;-1730,77;0;1;1;16;2555;0;1,0;212,92;278,45;0,14;1,31;12;-490;396;-1888,11;16;2555;2627;1;30,72;1,0;0;1;1;17;2946;0;1,0;210,43;278,45;0,14;1,32;12;-597;144;-2202,79;18;0;2;5;20;4789;0;2,5;239,45;278,46;0,14;1,16;13;-325;608;-3146,85
1;KR_7966299625;15.24;Anivia;Zoe;1765719759370;0;1;3;3;1,33;0,33;12166;25821;15568;8565;6,86;451,15;317,61;13;0,48;9;2;0;424;3404;0;0,18;0,2;0;0;0;0;34;0;0;0;35;1633;0;0,0;326,6;451,15;0,2;1,38;-3;-140;-38;-1753,46;42;0;0;0;89;3626;0;0,0;329,64;451,15;0,21;1,37;-4;-321;558;-3857,61;0;0;0;99;3916;0;0,0;326,33;451,15;0,21;1,38;-7;-391;412;-4208,31;99;3916;5909;0;5,76;0,0;0;0;0;121;4597;0;0,0;328,36;451,15;0,21;1,37;-3;-465;491;-4909,69;144;1;1;0;158;6791;0;1,0;339,55;451,15;0,2;1,33;-4;-115;51;-7013,85
1;KR_7966299625;15.24;Corki;Yunara;1765719759370;0;4;6;3;1,17;0,58;18187;19346;11420;11116;7,38;674,43;412,21;28;1,04;13;7;4;3137;4441;0;0,27;0,15;0;0;0;0;0;0;0;0;30;1577;0;0,0;315,4;674,43;0,19;2,14;-7;-397;-189;-1223,17;35;0;1;0;78;3593;0;0,0;326,64;674,43;0,21;2,06;-15;-1415;-1226;-2690,99;1;2;0;96;4017;0;0,5;334,75;674,43;0,21;2,01;-6;-1272;-1107;-2935,63;96;4017;4070;2;12,48;0,5;1;2;0;113;4883;0;0,5;348,79;674,43;0,23;1,93;-11;-2059;-2215;-3424,9;153;4;3;1;169;9104;0;1,67;455,2;674,42;0,26;1,48;-15;-984;-2519;-4892,71
1;KR_7966299625;15.24;Gwen;Gnar;1765719759370;0;4;7;4;1,14;0,67;21565;32896;24586;10455;7,19;799,69;387,7;18;0,67;7;4;3;2289;3756;0;0,32;0,25;0;0;0;0;5;0;0;1;37;1804;0;0,0;360,8;799,69;0,22;2,22;8;-30;90;-811,93;47;0;1;1;95;4127;0;1,0;375,18;799,69;0,24;2,13;10;-140;-22;-1786,24;1;1;1;102;4432;0;2,0;369,33;799,69;0,24;2,17;11;-187;136;-1948,63;102;4432;6279;1;8,04;2,0;1;1;1;119;5118;0;2,0;365,57;799,69;0,24;2,19;3;-927;-267;-2273,4;143;2;3;2;162;7359;0;1,33;367,95;799,69;0,21;2,17;0;-1405;-961;-3247,71
1;KR_7966299625;15.24;LeeSin;Nidalee;1765719759370;0;3;9;3;0,67;0,5;7091;34543;27561;8679;4,78;262,95;321,84;31;1,15;15;3;5;138;778;0;0,11;0,27;0;0;0;0;11;1;1;0;32;1984;0;1,0;396,8;262,95;0,24;0,66;3;336;232;-3620,4;32;1;3;0;60;3516;0;0,33;319,64;262,95;0,2;0,82;-19;-981;-1021;-7964,87;1;4;1;68;3848;0;0,5;320,67;262,95;0,21;0,82;-19;-957;-926;-8688,95;68;3848;3889;4;13,8;0,5;1;4;1;69;4108;0;0,5;293,43;262,95;0,19;0,9;-47;-1571;-2430;-10137,11;109;1;5;2;115;6346;0;0,6;317,3;262,95;0,18;0,83;-47;-1810;-2472;-14481,58
